Linux 6.17.0-19-generic (ale-VM) 	03/16/26 	_x86_64_	(16 CPU)

11:43:43      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
11:43:44     1000      6302    0.00  100.00    0.00    0.00  100.00     2  tester_getpid
11:43:45     1000      6302    0.00  100.00    0.00    0.00  100.00     2  tester_getpid
11:43:46     1000      6302    0.00  100.00    0.00    0.00  100.00     2  tester_getpid
11:43:47     1000      6302    0.00  100.00    0.00    0.00  100.00     2  tester_getpid
11:43:48     1000      6302    0.00  100.00    0.00    0.00  100.00     2  tester_getpid
11:43:49     1000      6302    0.00  100.00    0.00    0.00  100.00     2  tester_getpid
11:43:50     1000      6302    0.00  100.00    0.00    0.00  100.00     2  tester_getpid
11:43:51     1000      6302    0.00   99.00    0.00    0.00   99.00     2  tester_getpid
11:43:52     1000      6302    0.00  100.00    0.00    0.00  100.00     2  tester_getpid
11:43:53     1000      6302    0.00  100.00    0.00    0.00  100.00     2  tester_getpid
Average:     1000      6302    0.00   99.90    0.00    0.00   99.90     -  tester_getpid
