impl,mode,N,max_per_sec,dur_s,runs,task_clock_ms_proc_mean,ctx_switches_proc_mean,cpu_migrations_proc_mean,task_clock_ms_sys_mean,ctx_switches_sys_mean,cpu_migrations_sys_mean,peak_delay_ns_mean,peak_blocked_threads_mean,avg_blocked_threads_mean,lat_calls_mean,lat_avg_ns_mean,lat_max_ns_mean
usctm_hook,,1,5,10,1,422902.0,10.0,0.0,160045691900.0,36084.0,186.0,1000171737.0,1.0,0.968,57665893.0,137.1,3776050.0
usctm_hook,,8,5,10,1,2741652.0,80.0,2.0,160043345112.0,34654.0,204.0,12999945000.0,8.0,7.75,57360242.0,137.7,234594.0
kprobe,0,1,5,10,1,9999844772.0,10.0,0.0,175988793366.0,13072.0,19.0,1000098857.0,1.0,0.975,51341220.0,157.7,3557266.0
kprobe,0,8,5,10,1,80081064207.0,40.0,0.0,317986195830.0,14997.0,41.0,51999938709.0,8.0,7.96,46341457.0,176.6,11541407.0
kprobe,1,1,5,10,1,10001394001.0,2.0,0.0,176023685574.0,15149.0,30.0,1000060916.0,1.0,0.975,52928713.0,152.0,3688690.0
kprobe,1,8,5,10,1,80011526202.0,24.0,0.0,926014154880.0,59035.0,238.0,17999959907.0,8.0,7.961,48392575.0,166.3,1703424.0
kprobe,2,1,5,10,1,10000492276.0,7.0,0.0,178016986790.0,127499.0,145.0,1000142402.0,1.0,0.975,50738787.0,158.5,1811757.0
kprobe,2,8,5,10,1,80008302943.0,27.0,0.0,649981676673.0,29188.0,59.0,22999947968.0,8.0,7.964,50274259.0,160.1,3372574.0
