impl,mode,N,max_per_sec,dur_s,case_dir,task_clock_ms_proc,ctx_switches_proc,cpu_migrations_proc,task_clock_ms_sys,ctx_switches_sys,cpu_migrations_sys,peak_delay_ns,peak_blocked_threads,avg_blocked_threads,lat_calls,lat_avg_ns,lat_max_ns
usctm_hook,,1,5,10,/home/ale/Documenti/GitHub/syscall_throttling/syscall_throttle_usctm/results/usctm_hook_20260316_115352/N1_max5_dur10,422902.0,10.0,0.0,160045691900.0,36084.0,186.0,1000171737,1,0.968,57665893,137.1,3776050
usctm_hook,,8,5,10,/home/ale/Documenti/GitHub/syscall_throttling/syscall_throttle_usctm/results/usctm_hook_20260316_115352/N8_max5_dur10,2741652.0,80.0,2.0,160043345112.0,34654.0,204.0,12999945000,8,7.75,57360242,137.7,234594
kprobe,0,1,5,10,/home/ale/Documenti/GitHub/syscall_throttling/syscall_throttle/results/kprobe_20260316_113450/mode0_N1_max5_dur10,9999844772.0,10.0,0.0,175988793366.0,13072.0,19.0,1000098857,1,0.975,51341220,157.7,3557266
kprobe,0,8,5,10,/home/ale/Documenti/GitHub/syscall_throttling/syscall_throttle/results/kprobe_20260316_113450/mode0_N8_max5_dur10,80081064207.0,40.0,0.0,317986195830.0,14997.0,41.0,51999938709,8,7.96,46341457,176.6,11541407
kprobe,1,1,5,10,/home/ale/Documenti/GitHub/syscall_throttling/syscall_throttle/results/kprobe_20260316_113450/mode1_N1_max5_dur10,10001394001.0,2.0,0.0,176023685574.0,15149.0,30.0,1000060916,1,0.975,52928713,152.0,3688690
kprobe,1,8,5,10,/home/ale/Documenti/GitHub/syscall_throttling/syscall_throttle/results/kprobe_20260316_113450/mode1_N8_max5_dur10,80011526202.0,24.0,0.0,926014154880.0,59035.0,238.0,17999959907,8,7.961,48392575,166.3,1703424
kprobe,2,1,5,10,/home/ale/Documenti/GitHub/syscall_throttling/syscall_throttle/results/kprobe_20260316_113450/mode2_N1_max5_dur10,10000492276.0,7.0,0.0,178016986790.0,127499.0,145.0,1000142402,1,0.975,50738787,158.5,1811757
kprobe,2,8,5,10,/home/ale/Documenti/GitHub/syscall_throttling/syscall_throttle/results/kprobe_20260316_113450/mode2_N8_max5_dur10,80008302943.0,27.0,0.0,649981676673.0,29188.0,59.0,22999947968,8,7.964,50274259,160.1,3372574
